Original_Name,New_Name,Duplicate,Read_Number,Concentration,Cruise,Use,Sed_or_Mus,Type,Depth_in_Meters,Lake,Month_Collected,Mussel_Classification ,Mass_of_Mussel,Mussel_Density,Sediment_Type,GPS_N _degrees,GPS_N _minutes,GPS_W_degrees,GPS_W_minutes
M45M2.815,M45.M2.815,M45.M.815,9138,5.24,Transect,Sample,Mussel,Whole Mussel,45,Michigan,August,Large,0.5,,clay,43,12.131,86,26.902
Q05.L1.S,Q05.L1.S,Q05.L.S,11012,4.79,Survey,Sample,Mussel,Mussel Shell,45,Michigan,July,Large,0.8,Few-Moderate,soft silt,43,44.7,-87,76.983
Q05.L2.S,Q05.L2.S,Q05.L.S,12178,5.4,Survey,Sample,Mussel,Mussel Shell,45,Michigan,July,Large,0.7,Few-Moderate,soft silt,43,44.7,-87,76.983
Q05.M1.S,Q05.M1.S,Q05.M.S,5872,1.56,Survey,Sample,Mussel,Mussel Shell,45,Michigan,July,Large,0.6,Few-Moderate,soft silt,43,44.7,-87,76.983
Q05.M2.S,Q05.M2.S,Q05.M.S,2204,1.03,Survey,Sample,Mussel,Mussel Shell,45,Michigan,July,Medium,0.3,Few-Moderate,soft silt,43,44.7,-87,76.983
Q05.S1.S,Q05.S1.S,Q05.S.S,7408,1.24,Survey,Sample,Mussel,Mussel Shell,45,Michigan,July,Small,0.2,Few-Moderate,soft silt,43,44.7,-87,76.983
Q05.S1.S2,Q08.S1.S,Q08.S.S,233.3,3.11,Survey,Sample,Mussel,Mussel Shell,45,Michigan,July,Small,0.1,Few,silt over sandy silt,44,81.667,-86,18.45
Q05.S2.S,Q05.S2.S,Q05.S.S,6934,0.9,Survey,Sample,Mussel,Mussel Shell,45,Michigan,July,Small,0.1,Few-Moderate,soft silt,43,44.7,-87,76.983
Q05.S2.S2,Q08.S2.S,Q08.S.S,1207,3.72,Survey,Sample,Mussel,Mussel Shell,45,Michigan,July,Small,0.1,Few,silt over sandy silt,44,81.667,-86,18.45
Q08.L1.S,Q08.L1.S,Q08.L.S,3201,1.31,Survey,Sample,Mussel,Mussel Shell,45,Michigan,July,Medium,0.4,Few,silt over sandy silt,44,81.667,-86,18.45
Q08.L2.S,Q08.L2.S,Q08.L.S,19530,1.97,Survey,Sample,Mussel,Mussel Shell,45,Michigan,July,Medium,0.4,Few,silt over sandy silt,44,81.667,-86,18.45
